"orderID","CreateDate","Serial","PicklistID","CartonNumber","TotalNumberOfCartons","cartonID","Weight1","Weight2","MaxWeight","MinWeight","Status","Packdate"
"2330104_1","2019-07-29 08:58",,"P001032501",3,3,"60347970",4995,4995,5308,4808,"SHIPPED","2019-07-29 10:40"
"2334209_1","2019-07-29 10:42",,"P001032548",2,3,"60348101",4885,4885,5308,4808,"SHIPPED","2019-07-29 10:59"
"2330087_1","2019-07-29 10:44",,"P001032725",1,1,"40486956",2285,2285,2460,2060,"SHIPPED","2019-07-29 11:14"
"2329921_1","2019-07-29 11:06",,"P001033128",3,3,"60348105",18725,18725,19115,18615,"SHIPPED","2019-07-29 12:42"
"2334143_1","2019-07-29 11:39",,"P001033606",5,5,"60348009",7625,7625,8020,7520,"SHIPPED","2019-07-29 15:10"
"2334633_1","2019-07-29 12:54",,"P001033351",1,1,"40488065",3535,3535,3724,3324,"SHIPPED","2019-07-29 15:12"
